id,camera_id,housing_id,lens_id,gear_id,adapter_id,extension1_id,extension2_id,port_id,notes,created_at,extension3_id
7271,62,96,178,226,,105,132,140,,2025-11-03 00:49:11.542933+00,
7272,62,96,178,226,,124,,119,,2025-11-03 00:49:11.642081+00,
7273,62,96,178,226,,123,134,119,,2025-11-03 00:49:11.746168+00,
7274,62,96,179,228,,123,134,121,,2025-11-03 00:49:11.846285+00,101
7275,62,96,179,227,,113,,140,,2025-11-03 00:49:11.946846+00,
7276,62,96,179,227,,114,,140,,2025-11-03 00:49:12.050775+00,
7277,62,96,179,227,,122,,127,,2025-11-03 00:49:12.156345+00,
7278,62,96,179,227,,123,,127,,2025-11-03 00:49:12.267556+00,
7279,62,96,179,227,,125,,117,,2025-11-03 00:49:12.366244+00,
7280,62,96,179,227,,126,,117,,2025-11-03 00:49:12.476053+00,
7281,62,96,179,228,,116,,140,,2025-11-03 00:49:12.57781+00,
7282,62,96,179,228,,114,133,140,,2025-11-03 00:49:12.68871+00,
7283,62,96,179,228,,124,100,121,,2025-11-03 00:49:12.788672+00,
7284,62,96,180,229,,104,,140,,2025-11-03 00:49:12.889678+00,
7285,62,96,180,229,,105,,140,,2025-11-03 00:49:12.99353+00,
7286,62,96,180,229,,119,,127,,2025-11-03 00:49:13.099734+00,
7287,62,96,180,229,,120,,127,,2025-11-03 00:49:13.202775+00,
7288,62,96,180,229,,123,,126,,2025-11-03 00:49:13.306538+00,
7289,62,96,180,229,,122,,119,,2025-11-03 00:49:13.42344+00,
7290,62,96,180,229,,122,,117,,2025-11-03 00:49:13.522871+00,
7291,62,96,180,229,,123,,119,,2025-11-03 00:49:13.625611+00,
7292,62,96,180,229,,123,,117,,2025-11-03 00:49:13.731564+00,
7293,62,96,180,229,,125,,121,,2025-11-03 00:49:13.82877+00,
7294,62,96,180,229,,125,,124,,2025-11-03 00:49:13.940113+00,
7295,62,96,180,229,,126,,121,,2025-11-03 00:49:14.045744+00,
7296,62,96,180,229,,126,,124,,2025-11-03 00:49:14.16875+00,
7297,62,96,180,230,,160,,121,,2025-11-03 00:49:14.269644+00,
7298,62,96,180,230,,123,134,121,,2025-11-03 00:49:14.375809+00,
7299,62,96,180,231,,110,,140,,2025-11-03 00:49:14.474594+00,
7300,62,96,180,231,,109,133,140,,2025-11-03 00:49:14.577096+00,
7301,62,96,181,233,,111,,127,,2025-11-03 00:49:14.678557+00,
7302,62,96,181,233,,112,,127,,2025-11-03 00:49:14.787874+00,
7303,62,96,181,233,,113,,119,,2025-11-03 00:49:14.890016+00,
7304,62,96,181,233,,114,,119,,2025-11-03 00:49:14.99221+00,
7305,62,96,181,233,,119,,117,,2025-11-03 00:49:15.093182+00,
7306,62,96,181,233,,120,,117,,2025-11-03 00:49:15.193818+00,
7307,62,96,181,233,,122,,121,,2025-11-03 00:49:15.29948+00,
7308,62,96,181,233,,122,,124,,2025-11-03 00:49:15.401816+00,
7309,62,96,182,,,119,,139,,2025-11-03 00:49:15.512049+00,
7310,62,96,182,,,120,,139,,2025-11-03 00:49:15.616324+00,
