和名,学名,分布,深さ,体長,description
シロスギノハウミウシ,Dendronotus gracilis,北海道～九州,22m,35~70mm,体地色は白色を帯びた半透明で、触角鞘や口幕突起、背側突起などの突起は白色。触角は不透明。体表には黄色の斑紋が多数散在する。背側突起は4対でその後方に単一の突起が2～4個並ぶ。口幕突起は4本でそれぞれ小さく分枝する。70mmに達する。
イトヒキウミウシ,Dendronotus orientalis,本州中部,30m,25~30mm,体は黄色みを帯びた半透明。触角鞘の突起の一部が著しく伸長する。背側突起は4対で先は分枝する。口幕の突起は10本。30mmに達する。
ザクロスギノハウミウシ,Dendronotus zakuro,日本、ロシア,2m,25~30mm,体は赤褐色から橙色で、体表には白色点が散在する。口幕には多くの分枝をもつ突起が5～7本ある。背側突起は6～7対でそれぞれが多くの分枝をもち、突起間には白色の破線がある。触角褶葉は10～11枚で触角鞘先端には5本の突起がある。モスクワ大学の本邦産タイプ標本にもとづき、種小名に因んだ新称ザクロスギノハウミウシを提唱する。30mmに達する。
デンドロノータス・ノアイ,Dendronotus noahi,西太平洋,15m,10~15mm,体は白みを帯びた半透明で、黒色の消化腺が背面から尾、背側突起、触角鞘先端近くにいたる。体表には黄色の小突起があるが、これを欠く個体もいる。背側突起は2～3対。触角は長大で鞘の先端は白色。触角褶葉は白黄色から橙色。口幕縁には短い突起が数本ある。15mmに達する。
トラフイトヒキウミウシ,Dendronotus sp.1,伊豆半島,5m,35~35mm,体地色は乳白色で黄色の斑紋と褐色の網目模様が全体を覆う。背側突起は4対でその直後に1突起がある。口幕突起は10本。35mmに達する。
ナガヒゲイトヒキウミウシ,Dendronotus sp.2,インド-西太平洋,15m,10~20mm,背側突起は2対、その後に1本の長い突起がある。この突起には時に上部に小突起が生じる。口幕突起は2本。中野（2018）における本種の記述に後部の1本の突起についての記述がなく、オナガイトヒキウミウシにはあるものの背側突起が3対という。これらは同種とみて、先に掲載されたナガヒゲイトヒキウミウシを採用する。20mmに達する。
アミメイトヒキウミウシ,Dendronotus sp.3,伊豆半島,14m,25~25mm,体色は白みを帯びた半透明で、体全体に蛋白色の細線が乱れた網目状に入る。背面には褐色細点が散布する。背側突起は4対、口幕突起は8本。25mmに達する。
ユビウミウシ,Bornella stellifer,インド-西太平洋,12m,50~40mm,体地色は黄灰色で背面は橙色の網目状斑紋で覆われる。背側突起は3対から6対に及び、それぞれが2～3分岐し、先端直下には橙色の輪がある。口幕は左右2裂し先端直下に橙色の輪をもつ突起がそれぞれ6本ほど生じる。40mmに達する。
ヤマトユビウミウシ,Bornella hermanni,インド-西太平洋,10m,8~50mm,体は黄白色で橙色の網目状斑紋が覆う。背側突起は3対でその後位のものは単突起になり、白色で橙色の輪をもたない。触角鞘は細長く4本ほどに分岐する。50mmに達する。
ヒオドシユビウミウシ,Bornella anguilla,インド-西太平洋,12m,50~70mm,体地色は乳白色で黒褐色の独特の網目模様が体側を覆う。網の目のいくつかは大きく、褐色や淡褐色に彩色される。背側突起は6対で内側に鰓を生じている。眼の周囲は半透明で印象的。相当時間、遊泳できる。70mmに達する。
ホムラユビウミウシ,Bornella pele,西太平洋、中部太平洋,8m,15~30mm,体は白みを帯びた半透明で体表には白色の微細点を密に散布している。赤色の斑紋が尾の上と触角鞘、触角基部から口幕上、背側突起の分岐部にある。30mmに達する。
ボニンユビウミウシ,Bornella johnsonorum,小笠原諸島、マーシャル諸島,20m,10~25mm,体は白地に赤色の網目状模様がある。背側突起や口幕突起に橙色の輪はない。触角と口幕突起は淡い橙色になる。背側突起の透明の鰓は多い。25mmに達する。
ハチジョウユビウミウシ,Bornella sp.1,八丈島,16m,25~10mm,触角鞘を含む体全体を網目状斑紋が覆う。背面には触角後方から尾にいたる白色帯がある。背側突起は3対。形態的にヤマトユビウミウシと変わらず、精査する必要がある。10mm。
ゼンチュウウミウシ,Lomanotus vermiformis,インド-西太平洋、大西洋,12m,10~30mm,体は細長く茶色で、白色の縦細線が全体に乱れながら入る。背側突起は白みを帯び、背面緑に密に多数並ぶ。口幕縁には２本の突起がある。ナガムシウミウシは異名。30mmに達する。
オセナガムシウミウシ,Lomanotus sp.1,西太平洋,20m,20~20mm,体は蛋白色からピンク色、褐色と変異がある。触角基部後部に丸い白色紋がある。背面縁の張り出しの内側に小さな不定形の白色斑がある。背面正中線と背面の左右の張り出しの交わる3か所に暗色斑または白色斑がある。20mmに達する。
カーネーションウミウシ,Lomanotus sp.2,フィリピン、沖縄島,7m,10~10mm,体は淡い赤色を帯びた半透明で、伸長して波打つ背面縁や触角鞘などの縁で濃色になる。ハネガヤ類に着生。10mmに達する。
コチョウウミウシ,Crosslandia viridis,インド-西太平洋,25m,25~30mm,体は緑色から褐色で青色紋や白色紋が入ることがある。背側突起は1対で先が2分岐する。触角鞘の後部には低い縦ヒダがある。30mmに達する。
オキウミウシ,Scyllaea pelagica,西太平洋,,18~40mm,褐色で体側には数個の突起した白色紋と青色小紋がある。背側突起は２対で内側に鰓がある。触角鞘の後部縁は広がり半ばはやや尖る。流れ藻に乗り、表面の刺胞動物を摂食する。40mmに達する。
ツメウミウシ,Notobryon clavigerum,本州、四国、九州,15m,35~80mm,体地色は赤褐色で、触角鞘から尾にいたる背側全長に黒褐色の色帯がある。体側には青みを帯びた小斑が散在し、中心が小さく尖る。80mmに達する。
ウミトンボ,Notobryon bijecurum,房総半島から南西諸島,18m,10~30mm,体は黄褐色を帯びた半透明。背側突起は２対でほぼ連続し、後方の突起はたいへん小さい。体側には数個の青白斑をもつものがある。30mmに達する。
ユメウミウシ,Notobryon wardi,西太平洋・中部太平洋,5m,10~100mm,体は白みを帯びた半透明から赤褐色。体側には小さな突起が一列に並び、多くの場合水色や蛋白色の斑紋がある。背側突起は前方のものがやや大きく、内側に透明の鰭を生じている。触角鞘後部にはやや大きなヒダがある。100mmに達する。
シロオキウミウシ,Scyllaeidae sp.,房総半島、伊豆半島,7m,5~10mm,体は白みを帯びた半透明で黄色い臓器が透けて見える。背側突起、触角鞘は太く短い。背側突起の先端縁、触角鞘縁には顆粒状突起が並ぶ。カヤ類に着生。10mmに達する。
ヒメメリベ,Melibe papillosa,西太平洋,8m,90~40mm,体地色は淡黄色から褐色で、背側突起とともに全体に顆粒状突起、白色の小突起が散在する。背側突起の先端は弱いくさび型。頭巾縁の触手は1〜3列。40mmに達する。
ムカデメリベ,Melibe viridis,インド-西太平洋,15m,150~200mm,体色は褐色を帯びた半透明。体側面、背面中央部には樹枝状小突起が多数生じる。背側突起は先端部でやや広がり、団扇状になる。背側突起には多数のイボ状突起がある。頭巾縁の触手は5～6列。200mmを超える。
マツゲメリベウミウシ,Melibe engeli,インド-西太平洋、中部太平洋,6m,10~54mm,体はほぼ透明で微小な白点が散布し、体内の臓器が透けて見える。背側突起の先は両端と中央に白い突起がある。触角鞘の後端に3～6本の突起がある。54mmに達する。
オオウラメリベ,Melibe megaceras,インド-西太平洋、中部太平洋,15m,80~100mm,体は黄灰色や褐色を帯びた半透明。背側突起は先端が2～4に分岐する。背面には多くの長く細い突起があることで他種との識別は容易。100mmに達する。
ヤマトメリベ,Melibe japonica,インド-西太平洋,,10~500mm,体は淡いピンク色を帯びた半透明。体表全体に赤色～白色の丸い小突起が散在する。頭巾は大きく、腹足幅はたいへん広い。頭巾縁の触手は約一列。500mmを超える。
チビメリベ,Melibe minuta,沖縄島,3m,15~10mm,体は暗褐色で背面、体側は平滑。背側突起は扁平で側縁が内側に小さく巻き、一番前側では対をなすが後方では徐々にずれて交互に派生する。また、背側突起は各側4～6本ほどで、表面には小突起が散在する。頭巾は体に比較して小さく、外側の触手列は長い。水深1.5m～4.5mから14個体が得られている。10mmに達する。
バライロマツカサウミウシ,Doto rosacea,日本、香港、インドネシア,10m,10~10mm,体地色は橙色で背面には赤色の帯がある。背面正中には黄色の小突起が並ぶが視認しにくい個体もいる。背側突起はおおむね全体に橙色で先端が濃色にならない。触角鞘は5葉に分かれる。10mmに達する。
スミレマツカサウミウシ,Doto purpurea,日本,28m,5~8mm,体地色は橙色で背側突起も同色。突起先端は赤紫色の濃色になる。触角鞘は前端に2本の指状突起があるとされるが、緩く2裂する個体と単に前方に広がる個体が同所的に観察されることから分類形質として有用かどうか疑問。8mmに達する。
ヒメマツカサウミウシ,Doto pacifica,日本,5m,7~7mm,体は白みを帯びた半透明。背側突起の内部の中脈は淡い赤紫色。触角は半透明で長い。原記載の背側突起5対は小型個体であったためと考えられ、本写真個体では6対。7mmに達する。
シロマツカサウミウシ,Doto albida,日本,5m,5~10mm,体全体が白みを帯びた半透明で、背側突起内の中脈のみ淡い黄色になる。ヒメマツカサウミウシに似るが背側突起の形状、中脈の色彩で識別できる。10mmに達する。
コガネマツカサウミウシ,Doto bella,日本,11m,7~10mm,体地色は淡い黄白色。背側突起内の中脈は黄褐色。頭部正中線上から背面には不明瞭な暗色帯がある。触角は黒褐色だが上半分白い個体もいる。背側突起の各小突起先端は黒色点がある。背側突起は7対。背側突起は4～5個でなる環列の小突起が4段あるとされる。触角鞘縁は前方がやや広い。10mmに達する。
ヒイラギウミウシ,Doto pita,西太平洋、中部太平洋、大西洋,3m,8~10mm,体は白色を帯びた半透明から黒褐色。背側突起は小突起が乱れて生じ、不定形になる。先端の表面近くには球状の白い防御腺がある。触角は下半分が褐色で上半分は白色。10mmに達する。
フサマツカサウミウシ,Doto racemosa,西太平洋,18m,22~20mm,体地色は黄褐色で、頭部から背面全体が紫褐色のほんやりした斑紋で覆われる。背側突起上の丸い小突起は黄白色で先端が暗色になり、隙間がないほどに密に生じている。触角は暗褐色。20mmに達する。
マツカサウミウシ,Doto japonica,日本,15m,6~12mm,体地色は蛋白色で頭部から背面全体に暗褐色の小さな斑紋が覆う。背側突起の中脈は暗い朱褐色で各小突起の先端は黒色になる。背側突起の内側に樹枝状の鰓がある。触角鞘は上半分が暗色で鞘縁は波打つ。12mmに達する。
オキナワシロマツカサウミウシ,Doto sp.1,伊豆半島から南西諸島,12m,11~11mm,体地色は白みを帯びた半透明で、頭部から背面に不定形の黒色小斑紋が散布している。背側突起は黄色から赤みを帯びたベージュで先端には小さな黒点が生ずることもある。触角は黒色で先端は無色。過去の本ではマツカサウミウシとされていた場合もある。11mmに達する。
ミナミバライロマツカサウミウシ,Doto sp.2,南西諸島、インドネシア,8m,6~20mm,体は淡い赤紫色で微細な白点を散布する。背側突起は朱橙色で各小突起の先端は濃色。背側突起の内側には目立つ黄色の鰓が生じており、近似種と識別できる。個体標本は千葉大。20mmに達する。
ナナフシウミウシ,Kabeiro phasmida,南西諸島、フィリピン,8m,12~20mm,体は蛋白色から褐色で細長く、背側突起も11対に及ぶ。背側突起は個体により長さに変異があるが、小突起が変則的に生じおおむね不定形をしている。また、各小突起先端には小さな白色球状の防御腺がある。触角鞘は短いが触角は長い。20mmに達する。
カベイロ・クリスチャンアエ,Kabeiro christianae,西太平洋,20m,8~25mm,体は黒褐色で、左右背面縁に全長に及ぶ無色の帯がある。触角と触角鞘は半透明。背側突起はやや長く表面直下の白い球状防御腺がある。背側突起の軸は蛋白色から黒褐色と変異が多い。25mmに達する。
ミレニアムマツカサウミウシ,Kabeiro sp.1,西太平洋,15m,18~20mm,体は赤褐色から褐色でたいへん細長い。背側突起は17～18対ほどあり、同色だが派生する各小突起先端は淡色になる。触角鞘、触角は体と同色。本写真には卵塊が写っている。岩礁域のヒドロ虫群体に着生する。20mmに達する。
ボブホクヨウウミウシ,Tritonia bollandi,西太平洋、西太平洋熱帯域,14m,20~88mm,体色はオリーブグリーンで、背側突起、背面縁、触角は白い。口幕縁には12～14の小突起があり、多くが2叉し、白色で縁取られる。背側突起は9～14対。88mmに達する。
シラヒメハナガサウミウシ,Tritonia insulae,日本,21m,40~40mm,体は白色で背面は微小な粒状突起で覆われる。背側突起は各側12個で上部の分枝する部分が朱色で分枝は短い。触角鞘縁には切れ込みがあり、朱色。口幕縁の突起は原記載の25mmの個体では分枝していない。40mmに達する。
オセザキホクヨウウミウシ,Tritonia sp.1,日本,56m,18~25mm,体は白色を帯びた半透明で青みや紫色、赤色を帯びる変異があり、背側突起や触角鞘で濃色になる。背面の正中線を白色線が走り、各背側突起に向かって白色の垂線を伸ばす。背面は白色線で縁取られる。口幕縁突起は分枝しない。25mmに達する。
サビイロホクヨウウミウシ,Tritonia sp.2,南西諸島,22m,13~13mm,体は白色で、正中線に近い各背側突起間に、窪んだようにも見える暗色域がある。触角鞘には上部に褐色斑がある。背側突起先端は褐色。口幕縁の突起は先端2叉し褐色。ゴスライナーほか（2018）のTritonia sp.10と同種。過去の本ではミドリハナガサウミウシ属の1種、さらに属未確定種とされていた場合もある。13mmに達する。
スカシハナガサウミウシ,Tritonia sp.3,西太平洋,12m,10~30mm,体地色は白色。背面の各背側突起の基部には半透明の三角形があり、内臓が透けて見える。口幕縁の突起は分枝する。背側突起は大小交互に並ぶ。触角の褶葉は花弁のように開く。30mmに達する。
シロハナガサウミウシ,Tritoniopsis alba,インド-西太平洋,5m,10~27mm,体は通常灰白色で、ときに橙色の個体もいる。背側突起も含め、全体がごく小さな顆粒状突起で覆われる。背側突起は左右各列12個以上で、先端は多く分枝する。また、ユビノウハナガサウミウシと異なり、本種は背側突起が横に張り出す。27mmに達する。
ユビノウハナガサウミウシ,Tritoniopsis elegans,インド-西太平洋,12m,30~60mm,体地色は白色、橙色など変異がある。背面には白色の斑紋が入り、平滑。背側突起は上に向かって生じ、分枝が著しい。60mmに達する。
ミドリウミウシ,Marionia olivacea,日本,45m,120~130mm,体地色はオリーブ色から橙色。口幕縁から両触角間で接し、触角後方にも一対ある褐色斑は特徴的で、地色の異なる個体でも見られることが多い。背面の正中線上には黄色から橙色の斑紋が断続する。口幕縁の突起は短いが分枝する。130mmに達する。
シンリンウミウシ,Marionia arborescens,インド-西太平洋,2m,40~65mm,体は淡い緑色や褐色を帯びた灰白色。背側突起は樹枝状で大きい。触角鞘緑もやや大きい。背面には緑色細線が網目状になり、囲まれたそれぞれが粒状突起になる。近似種との識別は口幕縁の突起が分枝しない指状であること。65mmに達する。
マリオニア・ルブラ,Marionia rubra,インド-西太平洋熱帯域,4m,280~280mm,体地色は赤褐色から緑色、褐色など変異がある。背面と側面との境は明瞭ではない。体表全体に小さく盛り上がった白色斑で覆われる。体側突起の先端は丸く、あるいは平たく刈り込んだようになる。触角鞘縁は波打つ。口幕縁の突起は分枝する。280mmに達する。
ニシドマリハナガサウミウシ,Marionia sp.1,日本,8m,80~100mm,体は白みや緑色を帯びた半透明で、丸い小さく突起した白色斑が体全体を覆う。背面では白色斑の間が赤褐色や緑色で埋められ、網目状になる。各背側突起間には背面縁が明瞭。口幕縁の突起は分枝する。100mmを超える。
アミメハナガサウミウシ,Marionia sp.2,慶良間諸島,18m,13~13mm,体地色は緑灰色。各背側突起から正中に向かうU字型の部分は網目状になる。背側突起は短く、11対で先端は多く分枝する。口幕縁の突起は分枝する。13mmに達する。
ミナミホクヨウウミウシ,Marionia sp.3,西太平洋,10m,20~35mm,体地色は褐色から赤褐色で背面は暗色の細線で網目状に覆われる。体は幅があり、背面縁は突起毎に上下に波打つ。背面には正中線からおおむね左右対称に鮮やかな青色の斑紋が並ぶ。口幕は2裂し、各突起は分枝する。ゴスライナーほか（2018）のMarionia sp.18と同種と思われる。過去の本ではホクヨウウミウシ属に置かれていたことがある。35mmに達する。
カスレアミメウミウシ,Marionia sp.4,日本,14m,60~80mm,体は白みを帯びた半透明で、白色細点が散在する。背面には褐色の網目模様がある。背面、体側は透明の小さな突起で覆われる。背側突起は大小交互に並ぶ。背側突起は10対。口幕縁の突起は先端近くで分枝する。生殖門は右第2突起直下。千葉大学の標本に基づき、背面の擦れた網目模様に因み新称カスレアミメウミウシを提唱する。80mmに達する。
ナンヨウウミウシ,Marianina rosea,インド-西太平洋,17m,25~15mm,体は赤紫色を帯びた半透明。背側突起は淡い黄色で、左右4対あり、それぞれ2分岐する。触角は赤色。口触手は先端2/3が白色。尾も上縁は白色になる。15mmに達する。
コノハウミウシ,Phylliroe bucephala,世界中の温・熱帯域,5m,70~40mm,体は木の葉状で平たく細長い。ほぼ透明の体で、体内器官が透けて見える。触角は細く、近似のササノハウミウシよりもはるかに長い。後端は尾びれ型をしており、腹足はない。クラゲを摂食する。発光器をもつ。40mmに達する。
ササノハウミウシ,Cephalopyge trematoides,世界中の温・熱帯域,8m,10~25mm,体は透明で細長い笹の葉状をしており、体内器官が透けて見える。発光器がある。触角は短い。コノハウミウシとともに大海の海面近くを浮遊し、クラゲなどを摂食する。25mmに達する。
ショウジョウウミウシ,Madrella ferruginosa,インド-西太平洋,8m,12~45mm,体地色は赤褐色で体は細長い。背面には白色細点が散布し、背面周囲には基部が暗色の背側突起が多数並ぶ。腹足は広い。コケムシを摂食する。浮遊することがある。45mmに達する。
ハナショウジョウウミウシ,Madrella gloriosa,インド-西太平洋,10m,20~40mm,体地色は赤褐色で、背側突起や触角を含むおおむね全体に白色細点が散布している。背面には水色の円斑も散在し、背側突起の付け根は黒く縁取られる。40mmに達する。
アワユキウミウシ,Pinufius rebus,西太平洋熱帯域,15m,5~10mm,体は短い楕円形で、淡褐色。背面には亀の甲羅のような模様があり、低い畝を生じている。背側突起はおおむねこの畝の間から生じており、それぞれ数個の褐色の輪がある。背面周縁の突起はやや長い。触角は体地色と同色で触角鞘は白色。10mmに達する。
ヨツマタミノウミウシ,Embletonia gracilis,西太平洋、中部太平洋,10m,50~40mm,体地色は白色を帯びた半透明。体を非常に伸長させることができる。背側突起はほぼ透明で消化腺の色彩が反映される。背側突起は先端で2分岐を繰り返し四股になる。触角に鞘がない。過去の本では本和名の所属分類群変更、和名変更などの提唱もされたことがある。40mmに達する。
アデヤカミノウミウシ,Flabellina exoptata,インド-太平洋,14m,15~20mm,体は赤紫色を帯びた半透明。背側突起は中ほどに紫色の輪があり、先端はクリーム色。触角は橙赤色で後方に褶葉がある。口触手は基部1/3が紫色で先端はクリーム色。ときに発色の淡い個体も見られる。20mmに達する。
ツマベニミノウミウシ,Flabellina delicata,インド-太平洋,8m,15~20mm,体は紫色。背側突起は乳白色で、先端から紫色、橙赤色、白色の輪がある。触角は橙赤色で後面に顆粒状突起がある。口触手は紫色。20mmに達する。
ロータスミノウミウシ,Flabellina lotos,西太平洋,8m,25~25mm,体はピンクを帯びた半透明。背面正中線上と背面縁に紫色の縦線が途切れて入る。背側突起は長く、先端直下に紫色の輪がある。前足隅は触手状。触角後面には顆粒状突起がある。25mmに達する。
セスジミノウミウシ,Flabellina sp.1,日本,12m,12~12mm,体地色は白みを帯びた半透明で、背面中央部はやや黄色を帯びる。背面正中線上と背面縁には赤紫色の縦線がある。背側突起は7対でやや短く、クリーム色から朱褐色で先端は白色、その下に紫色の輪がある。触角と口触手は紫色。触角後部には顆粒状突起を生じている。12mmに達する。
セスジミノモドキ,Flabellina sp.2,西太平洋,10m,10~20mm,体はクリーム色から白みの強い黄白色。セスジミノウミウシやロータスミノウミウシのような背面を縦走する紫色の線をもたない。背側突起は長く、体と同色で、先端直下に赤紫色の輪がある。触角は後面に顆粒状突起があり、先端直下に赤紫色の輪がある。口触手は紫色。20mmに達する。
アイリスミノウミウシ,Flabellina sp.3,西太平洋,30m,15~15mm,体は白みを帯びた半透明で、微小な白色細点を散布する。背側突起には紫色と黄色の輪があり、先端は白色。触角と口触手は基部近くが黄褐色で先端は白色。15mmに達する。
コガネミノウミウシ,Flabellina sp.A,西太平洋,8m,10~12mm,体は白みを帯びた半透明で、背面を通して黒色の器官が透けて見える。背側突起は波を打つような背面縁に並ぶ。触角と口触手は黄色みを帯びた白色。12mmに達する。
サビイロミノウミウシ,Flabellina sp.5,日本,7m,15~15mm,体は白みを帯びた半透明で、縦に淡い赤褐色のぼけた色域がある。背側突起は赤褐色で橙黄色の輪が1つ、ないし2つ入る。触角は赤褐色で先端直下に橙黄色の輪があり、後面にごく小さな顆粒状突起がある。口触手は赤褐色だが基部を除き白い個体も多い。15mmに達する。
シロオビミノウミウシ,Flabellina sp.6,南西諸島、インドネシア,15m,15~15mm,体は緑褐色を帯びた半透明。頭部から背面上には白色斑紋が並ぶ。背側突起は長く、上部2/3が白色で先端直下に青色紋がある。下部は透明で緑色の消化腺が見える。触角は褐色で上部が白色を帯び、後縁に明瞭な襞葉がある。口触手の上面は青色。ゴスライナーほか（2018）のPhyllodesumium sp.7と同種。15mmに達する。
アイゾメミノウミウシ,Flabellinidae sp.,慶良間諸島,10m,6~6mm,体は紫色を帯びた青色で背面縁は明瞭。背側突起は丸みを帯び、消化腺は乳白色。触角は短く後面に顆粒状突起がある。口触手は先端1/3が白色。前足隅は短い触手状。6mm。
ケラマミノウミウシ,Samla bicolor,インド-太平洋,5m,9~15mm,体は白みを帯びた半透明で、背面には微細な白小細点を一面に散布する。背側突起は白色で先端直下に橙色の輪があるが、内側は途切れることも多い。触角褶葉は白色から淡褐色で太く丸みを帯びる。近似のサキシマミノウミウシは触角先端直下に橙色の輪がある。口触手は長く、先端は匙状。15mmに達する。
サキシマミノウミウシ,Samla takashigei,インド-西太平洋,5m,10~30mm,体はピンクや紫色を帯びた半透明で、背面はのっぺりとした白色。背側突起は白色で先端直下に橙色の輪がある。口触手は白色で長い。触角は白色で近似のケラマミノウミウシより細く、先端が橙色。30mmに達する。
ハクテンミノウミウシ,Samla riwo,インド-西太平洋,5m,12~25mm,背面は白色細点で覆われる。体側は白色点が縦列する。背側突起は白色で中ほどに紫色の輪、その先に橙色の輪がある。触角は褐色で白色点を散らす。口触手は長大で匙状、色彩は紫色で中ほどに白色の輪があり、先端が白色。25mmに達する。
ルージュミノウミウシ,Samla rubropurpurata,インド-太平洋,16m,10~20mm,体は赤みを帯びた紫色。背面縁は明瞭でやや白みを帯びる個体も多い。背側突起は橙赤色。触角は白色で多くの褶葉があり、先端が橙赤色。口触手は紫色で先端は白色。20mmに達する。
コザクラミノウミウシ,Occidenthella athadona,北太平洋,6m,10~16mm,体は白みを帯びた半透明。口触手先端から頭部に伸びる白色線は触角基部前で左右合流し、途切れながら背面半ばで縦線となり尾部後端にいたる。触角上部1/2は白色。背側突起には白色細点が散在し、消化腺は褐色。16mmに達する。
ピリカミノウミウシ,Microchlamylla amabilis,北太平洋,10m,12~26mm,体は白みを帯びた半透明で、触角、口触手の先端2/3ほどが白色。尾の正中線上に白色線がある。背側突起はほぼ透明で先端が白色、消化腺は赤褐色。26mmに達する。
アパタミノウミウシ,Apata pricei komandorica,北太平洋,5m,10~15mm,体は白みを帯びた半透明。触角はヒダ状の褶葉が明瞭で、後部に白色縦線が入る。口触手と尾部にも白色縦線が入る。背側突起はほぼ透明で消化腺は草色で先端近くは赤褐色。15mmに達する。
ニチロミノウミウシ,Unidentia nihonrossija,西太平洋、北太平洋,25m,18~25mm,体は白みを帯びた半透明で、背面の正中線上と背側突起基部の下に赤紫色の縦線がある。背側突起は透明で長く、先端が白色、その下に赤紫色の色帯がある。突起内の消化腺はベージュから赤色。触角は赤みを帯びた半透明で先端が白色。口触手は赤紫色で先端が白色。25mmに達する。
シテンサンドラウミウシ,Unidentia sp.,南西諸島,12m,10~11mm,体は白みを帯びた半透明で、頭部から背面の正中線上と背側突起基部の下に赤紫色の縦線がある。背面には白色の大きな斑紋がある。背側突起は透明で長く、先端直下に赤紫色の色帯がある。また、突起全体に乳白色の斑紋がある。突起内の消化腺はベージュから赤色。触角は背側突起と同様の色彩。口触手は赤紫色。本種とニチロウミウシとの関係は精査が必要。11mmに達する。
ホリミノウミウシ,Eubranchus horii,日本,,10~10mm,体は白みや黄みをおびた半透明。口触手から触角にいたる褐色線がある。背面には褐色斑紋と白色細点が散在するが多寡がある。背側突起は体と同色で白色細点を散らし、先端直下に褐色の輪がある。背側突起の消化腺は草色から暗褐色。10mmに達する。
イナバミノウミウシ,Eubranchus inabai,西太平洋,10m,3~12mm,体は赤褐色で頭部と背面にはそれぞれ白色斑紋がある。背側突起は下部が透明で、上部は白色、中ほどが大きく膨らむ。背側突起の消化腺は淡褐色。触角は長大で体と同色。12mmに達する。
アカボシミノウミウシ,Eubranchus echizenicus,日本,14m,8~7mm,体は白みを帯びた半透明で、一部または全体に黄色みがかかることがある。体表全体に赤褐色の小斑紋を散布する。背側突起は体と同色で湾曲し、先端は不透明。突起内の消化腺は淡いピンク色で太からず細からず。触角と口触手の上半は橙色。ゴスライナーほか（2018）のEubranchus sp.19 は本種である可能性がある。7mmに達する。
ジョオウミノウミウシ,Eubranchus virginalis,西太平洋,12m,10~12mm,体は白色を帯びた半透明だが橙黄色や緑色を帯びる個体も見られる。背側突起を含む全体に黒色点を散布するが、まれに欠くことがある。背側突起には円錐形の小突起を多数生じるが目立たないこともある。突起内の消化腺は下部が太い。触角の先端は白色で、その下に太い赤褐色の帯がある。12mmに達する。
ツマグロミノウミウシ,Eubranchus mimeticus,日本,10m,8~10mm,体は白みを帯びた半透明。背面は赤色で頭部前端から尾端にいたる正中線上に白色線がある。背側突起は赤色で白色縦線が数本入り、先端は暗い青緑色。触角上部、口触手も暗い青緑色。10mmに達する。
ツノトゲホリミノウミウシ,Eubranchus mandapamensis,インド-西太平洋,15m,12~20mm,体は褐色を帯びた半透明で、背側突起や触角、口触手を含む全体に褐色細点を散布する。背側突起は太く大きな紡錘形で、先端は黄白色で直下にピンク色の輪がある。触角には数個の輪もしくは棘状の小突起がある。ツノワホリミノウミウシ、Eubranchus rubropunctatus はシノニム。20mmに達する。
スベスベジョオウミノウミウシ,Eubranchus sp.1,西太平洋,7m,10~10mm,体は白みを帯びた半透明。背側突起を含めた全体に黒褐色点を散布する。背側突起は長く、平滑で消化腺はおおむね棒状。触角と口触手は中ほどに橙色帯がある。ジョオウミノウミウシに似るが本種は背側突起に小突起を生じない。本種とアカボシミノウミウシの関係は精査する必要がある。10mmに達する。
ターコイズミノウミウシ,Eubranchus sp.2,インド-太平洋,18m,10~8mm,体は黄褐色を帯びた半透明で、頭部前端から尾にいたる太い白色の色帯がある。背側突起は淡い黄緑色で先端が青緑色、その直下に橙色の輪がある。触角は先端が青緑色、その直下に白色帯がある。口触手は青緑色。8mmに達する。
ホソミノウミウシ,Eubranchus sp.3,西太平洋,5m,6~10mm,体は白みを帯びた半透明で背側突起を除く全体に赤褐色の細点を密に散布する。背側突起は長大でやや大きめの赤褐色斑が疎らに散在する。触角、口触手の中ほどには赤褐色帯がある。近似のアカボシミノウミウシ、スベスベジョオウミノウミウシとは細点の大きさと分布密度などで識別できるが、同種であるかどうかは今後の課題。10mmに達する。
ホシアカリミノウミウシ,Eubranchus sp.4,西太平洋,8m,8~8mm,体は白みを帯びた半透明で、背側突起を含む全体に暗褐色の細点を散らす。背側突起は中ほどが膨らみ、消化腺もその部分で膨らむ。また、先端直下にも膨らみをもつ個体が見られる。突起先端は白色で直下に淡い橙色の輪がある。触角と口触手に目立つ色帯はない。8mmに達する。
ジュズダマミノウミウシ,Eubranchus sp.5,慶良間諸島,,5~5mm,体は白色から黄色みをおびた半透明。背面中央に白色の円斑がありその周囲には赤褐色の細点がある。背側突起は3個の膨らみがある。触角には3個の膨らみがあり、口触手には2個の膨らみがある。5mm。
タマガワミノウミウシ,Eubranchus sp.6,日本,8m,6~15mm,体は白みを帯びた半透明で、背側突起を除く全体に褐色点、白色細点を散布する。背側突起は紡錘形で先端は細く、先端直下に黄色の輪がある。消化腺は基部で橙色、背側突起の膨らんだ部分で分枝が見られ、先端は青色。触角は中ほどからやや上方に褐色の輪があるがこれを欠くこともある。15mmに達する。
