和名,学名,分布,深さ,体長,description
ミナミシラヒメウミウシ,Goniobranchus verrieri,インド-太平洋,7m,10~17mm,背面は白色で、周縁は外側から赤褐色、橙黄色で縁取られる。触角と鰓は赤色から赤褐色で、触角褶葉縁、鰓の軸は白色。17mmに達する。
ウチナミシラヒメウミウシ,Goniobranchus rubrocornutus,西太平洋、中部太平洋,7m,15~15mm,背面は蛋白色で、周縁は外側から橙色、赤褐色、白色で縁取られる。背面縁は小さく波打つことが多い。触角褶葉は薄紫色で、縁はわずかに白色だが個体により多寡がある。鰓葉は薄紫色で軸が白色。15mmに達する。
シラヒメウミウシ,Goniobranchus sinensis,西太平洋,10m,10~14mm,背面は白みをおびた半透明で、周縁は外側から赤色、黄色で縁取られる。触角と鰓は赤紫色で、白く縁取られることはない。ときに背面に赤褐色の細点を散布することがある。14mmに達する。
ボンボリイロウミウシ,Goniobranchus albonares,西太平洋,5m,12~15mm,背面は白色で周縁は橙黄色で縁取られる。触角褶葉は大きく、白みを帯びた半透明で白色で縁取られる。鰓葉は白みを帯びた半透明で、軸が白色。15mmに達する。
シラウメウミウシ,Goniobranchus nona,日本,52m,10~25mm,背面は白みを帯びた半透明で、白色で縁取られる。周縁部には白色の外套腺が並ぶ。触角と鰓は淡い橙色または黄色。本種属はWoRMSによればChromodorisだが検証時期が古く、再検討を要する。ここでは中野（2018）に従う。25mmに達する。
コモンウミウシ,Goniobranchus aureopurpureus,西太平洋、中部太平洋,15m,25~30mm,背面は白色で、一様に黄色紋が散布し、褐色の不定形斑紋が散在する。背面周縁の全周には紺色の小斑紋が並ぶ。触角褶葉は褐色から紫色で白色で縁取られる。鰓葉は褐色から紫色で軸は白色。30mmに達する。
ヒメコモンウミウシ,Goniobranchus rufomaculatus,西太平洋、中部太平洋,10m,12~30mm,背面は白色で、一様に黄色紋が散布し、暗色の不定形斑紋が散在する。背面周縁の全周には紫色の小斑紋が並ぶ。触角褶葉は暗い褐色から赤紫色で、白色で縁取られる。鰓は全体が白色。30mmに達する。
セトイロウミウシ,Goniobranchus setoensis,インド-太平洋,12m,35~20mm,背面は白みを帯びた半透明で、白色線で囲まれた正中線上に白色線があり、鰓の手前で2分岐する。周縁は外側から断続する白色線、橙色の色帯、紫色の紋が並ぶ薄紫色の色帯で縁取られる。触角と鰓は白色。20mmに達する。
ニヨリセトイロウミウシ,Goniobranchus decorus,西太平洋、中部太平洋,8m,10~20mm,背面は蛋白色を帯びた半透明。背面中央の白色線で囲まれた部分には紫色の細点を伴う数本の白線がある。背面周縁の橙色の色帯には紫色の小斑紋と白色細点を散布する。触角と鰓は白色。20mmに達する。
ホムライロウミウシ,Goniobranchus albopunctatus,インド-太平洋,25m,25~65mm,体地色は黄色。背面は赤色で、小型個体では黄色のものも見られる。背面には白色でくくられた小さな眼紋が密に散布し、背面周縁は外側から青色、紫色、黄色で縁取られる。大型の種で65mmに達する。
